user1,Maple02,"Marbles McDonald",Creator,None,yes
user2,Maple02,"Pebbles Pinkerton",Explorer,None,no
user3,Maple02,"Amber Appleton",Viewer,None,no
user4,Maple02,"Flint Firestone",Unlicensed,None,no
user5,Maple02,"Dusk Diamond",Creator,None,yes
user6,Maple02,"River Raindrop",Explorer,None,no
user7,Maple02,"Sunrise Sunshine",Viewer,None,no
user8,Maple02,"Ember Evergreen",Unlicensed,None,no
user9,Maple02,"Stormy Sky",Creator,None,yes
user10,Maple02,"Harmony Honeysuckle",Explorer,None,no
user11,Maple02,"Seashell Seasalt",Viewer,None,no
user12,Maple02,"Summer Sunflower",Unlicensed,None,no
user13,Maple02,"Dreamer Dandelion",Creator,None,yes
user14,Maple02,"Cosmo Cosmos",Explorer,None,no
user15,Maple02,"Glow Glitter",Viewer,None,no
user16,Maple02,"Rain Rainforest",Unlicensed,None,no
user17,Maple02,"Moonstone Moon",Creator,None,yes
user18,Maple02,"Desert Dust",Explorer,None,no
user19,Maple02,"Golden Goldfinch",Viewer,None,no
user20,Maple02,"Rocky Rock",Unlicensed,None,no
user21,Maple02,"Whisper Wind",Creator,None,yes
user22,Maple02,"Majesty Majesty",Explorer,None,no
user23,Maple02,"Royal Royalty",Viewer,None,no
user24,Maple02,"Windy Windmill",Unlicensed,None,no
user25,Maple02,"Cool Copper",Creator,None,yes
user26,Maple02,"Purple Petal",Explorer,None,no
user27,Maple02,"Pink Petunia",Viewer,None,no
user28,Maple02,"Frosty Fern",Unlicensed,None,no
user29,Maple02,"Shimmer Shine",Creator,None,yes
user30,Maple02,"Misty Mountain",Explorer,None,no
user31,Maple02,"Enchanted Evermore",Viewer,None,no
user32,Maple02,"Sandy Seashore",Unlicensed,None,no
user33,Maple02,"Sparkle Snowflake",Creator,None,yes
user34,Maple02,"Meadow Meadowsweet",Explorer,None,no
user35,Maple02,"Jade Jellybean",Viewer,None,no
user36,Maple02,"Pearl Petrichor",Unlicensed,None,no
user37,Maple02,"Raindrop Ripple",Creator,None,yes
user38,Maple02,"Butterfly Bloom",Explorer,None,no
user39,Maple02,"Hummingbird Honey",Viewer,None,no
user40,Maple02,"Iceberg Ice",Unlicensed,None,no
user41,Maple02,"Dragonfly Driftwood",Creator,None,yes
user42,Maple02,"Leaflet Leaflet",Explorer,None,no
user43,Maple02,"Midnight Moonbeam",Viewer,None,no
user44,Maple02,"Maple Mountain",Unlicensed,None,no
user45,Maple02,"Cloud Clouds",Creator,None,yes
user46,Maple02,"Glitter Glade",Explorer,None,no
user47,Maple02,"Silk Silhouette",Viewer,None,no
user48,Maple02,"Sunbeam Sunburst",Unlicensed,None,no
user49,Maple02,"Teal Teardrop",Creator,None,yes
user50,Maple02,"Sunset Sunflower",Explorer,None,no
