user1@johndogfood.com,Maple02,"Marbles McDonald",Creator,None,yes
user2@johndogfood.com,Maple02,"Pebbles Pinkerton",Explorer,None,no
user3@johndogfood.com,Maple02,"Amber Appleton",Viewer,None,no
user4@johndogfood.com,Maple02,"Flint Firestone",Unlicensed,None,no
user5@johndogfood.com,Maple02,"Dusk Diamond",Creator,None,yes
user6@johndogfood.com,Maple02,"River Raindrop",Explorer,None,no
user7@johndogfood.com,Maple02,"Sunrise Sunshine",Viewer,None,no
user8@johndogfood.com,Maple02,"Ember Evergreen",Unlicensed,None,no
user9@johndogfood.com,Maple02,"Stormy Sky",Creator,None,yes
user10@johndogfood.com,Maple02,"Harmony Honeysuckle",Explorer,None,no
user11@johndogfood.com,Maple02,"Seashell Seasalt",Viewer,None,no
user12@johndogfood.com,Maple02,"Summer Sunflower",Unlicensed,None,no
user13@johndogfood.com,Maple02,"Dreamer Dandelion",Creator,None,yes
user14@johndogfood.com,Maple02,"Cosmo Cosmos",Explorer,None,no
user15@johndogfood.com,Maple02,"Glow Glitter",Viewer,None,no
user16@johndogfood.com,Maple02,"Rain Rainforest",Unlicensed,None,no
user17@johndogfood.com,Maple02,"Moonstone Moon",Creator,None,yes
user18@johndogfood.com,Maple02,"Desert Dust",Explorer,None,no
user19@johndogfood.com,Maple02,"Golden Goldfinch",Viewer,None,no
user20@johndogfood.com,Maple02,"Rocky Rock",Unlicensed,None,no
user21@johndogfood.com,Maple02,"Whisper Wind",Creator,None,yes
user22@johndogfood.com,Maple02,"Majesty Majesty",Explorer,None,no
user23@johndogfood.com,Maple02,"Royal Royalty",Viewer,None,no
user24@johndogfood.com,Maple02,"Windy Windmill",Unlicensed,None,no
user25@johndogfood.com,Maple02,"Cool Copper",Creator,None,yes
user26@johndogfood.com,Maple02,"Purple Petal",Explorer,None,no
user27@johndogfood.com,Maple02,"Pink Petunia",Viewer,None,no
user28@johndogfood.com,Maple02,"Frosty Fern",Unlicensed,None,no
user29@johndogfood.com,Maple02,"Shimmer Shine",Creator,None,yes
user30@johndogfood.com,Maple02,"Misty Mountain",Explorer,None,no
user31@johndogfood.com,Maple02,"Enchanted Evermore",Viewer,None,no
user32@johndogfood.com,Maple02,"Sandy Seashore",Unlicensed,None,no
user33@johndogfood.com,Maple02,"Sparkle Snowflake",Creator,None,yes
user34@johndogfood.com,Maple02,"Meadow Meadowsweet",Explorer,None,no
user35@johndogfood.com,Maple02,"Jade Jellybean",Viewer,None,no
user36@johndogfood.com,Maple02,"Pearl Petrichor",Unlicensed,None,no
user37@johndogfood.com,Maple02,"Raindrop Ripple",Creator,None,yes
user38@johndogfood.com,Maple02,"Butterfly Bloom",Explorer,None,no
user39@johndogfood.com,Maple02,"Hummingbird Honey",Viewer,None,no
user40@johndogfood.com,Maple02,"Iceberg Ice",Unlicensed,None,no
user41@johndogfood.com,Maple02,"Dragonfly Driftwood",Creator,None,yes
user42@johndogfood.com,Maple02,"Leaflet Leaflet",Explorer,None,no
user43@johndogfood.com,Maple02,"Midnight Moonbeam",Viewer,None,no
user44@johndogfood.com,Maple02,"Maple Mountain",Unlicensed,None,no
user45@johndogfood.com,Maple02,"Cloud Clouds",Creator,None,yes
user46@johndogfood.com,Maple02,"Glitter Glade",Explorer,None,no
user47@johndogfood.com,Maple02,"Silk Silhouette",Viewer,None,no
user48@johndogfood.com,Maple02,"Sunbeam Sunburst",Unlicensed,None,no
user49@johndogfood.com,Maple02,"Teal Teardrop",Creator,None,yes
user50@johndogfood.com,Maple02,"Sunset Sunflower",Explorer,None,no
